"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,61728;20,2956255601281;0,918816300936506;0,918738713630321;0,844152106384976;12209,5258320123;0,596808;4,1985436545778e-13;-0,318138609201896;2,536988;18;3;2;1;"SMJYB03_20220405_115500.wav";2022-04-05 12:25:00
0,980657777777778;64,1014013376599;0,968418126123709;0,984513724953248;0,953420936662297;9025,33480992277;0,675054;1,25039875078472e-12;0,57828644809401;2,310289;12;3;2;2;"SMJYB03_20220405_115500.wav";2022-04-05 12:20:00
1;33,8221736273114;0,973360139845403;0,916504724142485;0,892089166460302;8844,16125205817;0,790769;1,51789912023519e-12;0,843350082386807;1,843114;4;3;2;3;"SMJYB03_20220405_115500.wav";2022-04-05 12:15:00
1;33,7062788849504;0,976295542157119;0,917477057046386;0,895728760825819;8869,10618626574;0,738849;1,59832766135697e-12;0,660561817354;2,050889;2;3;2;4;"SMJYB03_20220405_115500.wav";2022-04-05 12:10:00
1;33,9632255614276;0,9720419122743;0,917582699484625;0,89192884187685;8871,0357966837;0,807705;1,51930231612602e-12;0,912621799667656;1,77982;3;3;2;5;"SMJYB03_20220405_115500.wav";2022-04-05 12:05:00
1;33,5923300009223;0,972748027483026;0,919631310318312;0,894569543123769;8849,01072977762;0,7954;1,5313974057665e-12;0,905691997420694;1,835368;6;3;2;6;"SMJYB03_20220405_115500.wav";2022-04-05 12:00:00
1;31,6390660770807;0,980003896108801;0,925477968936158;0,906972015320295;8862,51262361462;0,662683;1,73689948810306e-12;0,802606794896335;2,289237;3;3;3;1;"SMJYB03_20220405_122502.wav";2022-04-05 12:50:02
1;34,0188770819043;0,971739077561517;0,925633979104411;0,899474709014517;8842,88350772286;0,772698;1,4708027233651e-12;0,222865790672153;1,951131;3;3;3;2;"SMJYB03_20220405_122502.wav";2022-04-05 12:45:02
1;32,2506107228179;0,971854828921303;0,922514127501064;0,896549809560032;8839,88689031524;0,795647;1,45435001884383e-12;0,256725114820162;1,840572;4;3;3;3;"SMJYB03_20220405_122502.wav";2022-04-05 12:40:02
1;31,397017537688;0,981899448523831;0,924693625741762;0,907956161169338;8830,13295938764;0,571417;1,76687534243851e-12;0,672492259250562;2,520309;7;3;3;4;"SMJYB03_20220405_122502.wav";2022-04-05 12:35:02
1;35,7924336026427;0,978903336525775;0,923953575886952;0,904461238230659;8925,11528704291;0,730498;1,62745516251978e-12;0,366029734137001;2,101556;8;3;3;5;"SMJYB03_20220405_122502.wav";2022-04-05 12:30:02
1;34,4761183450419;0,97958769687662;0,925785668385352;0,906888250694989;8918,91114904985;0,726719;1,70818496356872e-12;0,524024144881373;2,111801;9;3;4;1;"SMJYB03_20220405_125502.wav";2022-04-05 13:20:02
1;33,8705395077309;0,980924898073682;0,924705086503997;0,907066242727149;8909,03501101154;0,55065;1,73456556759609e-12;0,592635520677099;2,559697;5;3;4;2;"SMJYB03_20220405_125502.wav";2022-04-05 13:15:02
1;42,7060905974545;0,974592887518236;0,922633712772911;0,899192254253022;9023,29694795622;0,640217;1,47366758984924e-12;0,327944044653663;2,343699;4;3;4;3;"SMJYB03_20220405_125502.wav";2022-04-05 13:10:02
1;43,6821755929907;0,977664273123632;0,922727330563367;0,902117544926544;9128,0972514174;0,61624;1,5614888767631e-12;0,350722256191929;2,362166;4;3;4;4;"SMJYB03_20220405_125502.wav";2022-04-05 13:05:02
