"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,62144;31,3750486963249;0,937887186243143;0,939723655607464;0,881354775203804;9955,02458979063;0,766843;5,36222984399452e-13;-0,677109098673755;1,9497;27;1;1;1;"SMJYB01_20220405_101500.wav";2022-04-05 10:45:00
0,699662222222222;18,7757754967283;0,933540228742567;0,917793099000688;0,856796779579451;13689,518573949;0,497652;4,49802722496043e-13;-0,299531216376705;2,74667;13;1;1;2;"SMJYB01_20220405_101500.wav";2022-04-05 10:40:00
0,7568;19,7139764090905;0,935912594831855;0,939874838397504;0,879640698821778;12950,0377489982;0,522547;7,51588538785304e-13;0,153196789563872;2,699044;24;1;1;3;"SMJYB01_20220405_101500.wav";2022-04-05 10:35:00
0,615573333333333;34,2585883654166;0,959390064372061;0,982575459605194;0,942673133441035;9058,91413236674;0,732447;1,32113894205152e-12;-0,0774229368739222;2,088594;42;1;1;4;"SMJYB01_20220405_101500.wav";2022-04-05 10:30:00
1;40,6873811192792;0,982452479898006;0,92078848556405;0,904630931103931;8815,49969764045;0,63033;1,7237294913996e-12;0,441752886924902;2,307497;2;1;1;5;"SMJYB01_20220405_101500.wav";2022-04-05 10:25:00
1;43,0779201054113;0,981866669663297;0,92454136763424;0,907776353604982;8870,02867951863;0,589094;1,69902677366564e-12;0,434864971449967;2,403645;2;1;1;6;"SMJYB01_20220405_101500.wav";2022-04-05 10:20:00
1;40,9448510746171;0,981699278672691;0,920176803294891;0,903336904045937;8804,22788747965;0,678209;1,71457407284422e-12;0,342832188507484;2,196979;3;1;2;1;"SMJYB01_20220405_104502.wav";2022-04-05 11:10:02
1;41,435940218572;0,981515547467359;0,921886799759572;0,904846226968948;8812,5672520036;0,683981;1,72969602731983e-12;0,333564445223172;2,18714;2;1;2;2;"SMJYB01_20220405_104502.wav";2022-04-05 11:05:02
1;41,2582250329523;0,981119844210065;0,92138733805545;0,90399140157009;8827,72281902938;0,603959;1,68131718531217e-12;0,531706711974909;2,3653;1;1;2;3;"SMJYB01_20220405_104502.wav";2022-04-05 11:00:02
1;40,6532982107581;0,982118978827676;0,920743003106101;0,904279177973291;8820,45110640485;0,635874;1,71885083205699e-12;0,523134947369886;2,294839;2;1;2;4;"SMJYB01_20220405_104502.wav";2022-04-05 10:55:02
1;40,2134233781334;0,982625500701089;0,921633092559266;0,905620179038742;8806,87808462762;0,591577;1,76095713682723e-12;0,452752584693475;2,386608;2;1;2;5;"SMJYB01_20220405_104502.wav";2022-04-05 10:50:02
1;40,2890313327437;0,982729963807222;0,921930259288482;0,906008490343353;8819,08588289594;0,533117;1,76584492862878e-12;0,501230715683611;2,5234;2;1;3;1;"SMJYB01_20220405_111502.wav";2022-04-05 11:40:02
1;40,0787405149874;0,982901073688733;0,921606799464188;0,905848312712187;8812,08083395666;0,478115;1,77144763690592e-12;0,463548195546053;2,664634;3;1;3;2;"SMJYB01_20220405_111502.wav";2022-04-05 11:35:02
1;40,389638181487;0,982800563143508;0,921867313385011;0,906011714738382;8820,8359491948;0,47885;1,76794342456101e-12;0,433647288593607;2,661131;1;1;3;3;"SMJYB01_20220405_111502.wav";2022-04-05 11:30:02
1;43,3233353551775;0,981362920756586;0,927992205505876;0,910697141234593;8859,32272039489;0,615761;1,70989617240443e-12;0,347283167876242;2,344515;9;1;3;4;"SMJYB01_20220405_111502.wav";2022-04-05 11:25:02
1;41,3222422997493;0,979021401190871;0,920257434494649;0,900951722975267;8810,90577589935;0,6257;1,58686127609831e-12;-0,0948076383150668;2,317598;1;1;3;5;"SMJYB01_20220405_111502.wav";2022-04-05 11:20:02
1;40,0826214560175;0,982643950165565;0,921949057903213;0,905947664109434;8817,81875573302;0,630737;1,7595466231222e-12;0,44992723956771;2,305319;1;1;4;1;"SMJYB01_20220405_114502.wav";2022-04-05 12:10:02
1;40,2186230464431;0,981881353115971;0,921393290639642;0,90469889096523;8818,36554401488;0,577072;1,7189311089041e-12;0,321227241269784;2,419372;1;1;4;2;"SMJYB01_20220405_114502.wav";2022-04-05 12:05:02
1;47,7420276551781;0,978534893644293;0,934261891289576;0,914207860428962;8868,07765295312;0,673788;1,65187901379417e-12;0,523490296649334;2,237401;28;1;4;3;"SMJYB01_20220405_114502.wav";2022-04-05 12:00:02
1;48,3379923874257;0,978445831637617;0,931050947110685;0,910982918242704;8899,31409382427;0,648013;1,61235902880218e-12;0,373819892260032;2,300485;16;1;4;4;"SMJYB01_20220405_114502.wav";2022-04-05 11:55:02
1;43,6431403227253;0,981376534656366;0,928266055581886;0,910978524866085;8843,78133314261;0,626465;1,7150338634116e-12;0,41242419653034;2,329504;16;1;4;5;"SMJYB01_20220405_114502.wav";2022-04-05 11:50:02
1;42,6969714260054;0,981192313842795;0,92433359446173;0,906949018312533;8851,59075860703;0,628768;1,71561971056649e-12;0,494688676878047;2,32071;8;1;5;1;"SMJYB01_20220405_121502.wav";2022-04-05 12:40:02
