"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
1;19,2728936304226;0,955755132367888;0,920766812630712;0,880027606885824;12286,2590483572;0,677684;1,22944430869293e-12;-0,0817166363367824;2,292129;18;1;1;1;"SMJYB01_20220408_112259.wav";2022-04-08 11:47:59
1;67,7331452450732;0,982916670174232;0,940349575015343;0,924285273073836;8840,50684275699;0,538245;1,79906218122183e-12;0,0782375899054111;2,484497;0;1;1;2;"SMJYB01_20220408_112259.wav";2022-04-08 11:42:59
1;67,1878614881565;0,982951551279978;0,937003214691542;0,921028763435378;8819,50086731117;0,547247;1,80128925024438e-12;0,0668543904281584;2,462258;0;1;1;3;"SMJYB01_20220408_112259.wav";2022-04-08 11:37:59
1;67,35601953527;0,983063525848548;0,937561226388671;0,921682244912536;8825,59640468219;0,455358;1,80466218335751e-12;0,0737333199603762;2,634382;0;1;1;4;"SMJYB01_20220408_112259.wav";2022-04-08 11:32:59
1;67,3255003657641;0,98304066488562;0,937468064339108;0,921569229276952;8820,20615957502;0,486871;1,80170155972613e-12;0,0681319676836299;2,576198;0;1;1;5;"SMJYB01_20220408_112259.wav";2022-04-08 11:27:59
1;67,1223319895727;0,983030901642477;0,936684081336906;0,920789397030774;8819,65958467134;0,468269;1,80136514551854e-12;0,0673515297772805;2,610359;0;1;2;1;"SMJYB01_20220408_115202.wav";2022-04-08 12:17:02
1;67,2720821966566;0,983043521819194;0,937526896815639;0,921629742445866;8818,41909316392;0,456885;1,8034277722722e-12;0,0701416899346033;2,631543;0;1;2;2;"SMJYB01_20220408_115202.wav";2022-04-08 12:12:02
1;67,1802965461283;0,983035240278866;0,936805958660734;0,920913270666728;8820,89114072831;0,458067;1,80295170610669e-12;0,0705499387755555;2,629403;0;1;2;3;"SMJYB01_20220408_115202.wav";2022-04-08 12:07:02
1;65,0902345929135;0,983027572325723;0,932809531799766;0,916977489487419;8823,63156363721;0,472369;1,80182401223514e-12;0,0701719404537939;2,60288;0;1;2;4;"SMJYB01_20220408_115202.wav";2022-04-08 12:02:02
1;67,3396903156618;0,983033350939002;0,937273882201124;0,921371485167778;8812,18266410029;0,464832;1,80259279115116e-12;0,0756689668489763;2,616743;0;1;2;5;"SMJYB01_20220408_115202.wav";2022-04-08 11:57:02
1;67,5526192955429;0,983014644015394;0,938132558395156;0,922198042930064;8821,26665401897;0,474309;1,80089187832168e-12;0,0834844380369893;2,600454;0;1;3;1;"SMJYB01_20220408_122202.wav";2022-04-08 12:47:02
1;67,4067224458848;0,983045736870244;0,937671925536193;0,921774388981267;8819,31405363886;0,49489;1,80313653362652e-12;0,0801628623419608;2,561489;0;1;3;2;"SMJYB01_20220408_122202.wav";2022-04-08 12:42:02
1;67,4534870839544;0,983041093614126;0,937919152923996;0,92201306981204;8817,23004402514;0,462124;1,8034419466822e-12;0,0787203674805025;2,621889;0;1;3;3;"SMJYB01_20220408_122202.wav";2022-04-08 12:37:02
1;67,5898788500238;0,982984483077075;0,93839043882401;0,92242324043189;8819,1945601867;0,537666;1,79914385375212e-12;0,0916217246678195;2,480575;0;1;3;4;"SMJYB01_20220408_122202.wav";2022-04-08 12:32:02
1;67,5588361097025;0,983031736162144;0,938161514340919;0,92224254224306;8817,04281122511;0,46722;1,80087281563054e-12;0,0845636804669354;2,612384;0;1;3;5;"SMJYB01_20220408_122202.wav";2022-04-08 12:27:02
1;67,4410818224892;0,983033735600998;0,938237085637553;0,922318707173677;8818,28737191335;0,466857;1,80281864003881e-12;0,0811828741145924;2,613313;0;1;4;1;"SMJYB01_20220408_125202.wav";2022-04-08 13:17:02
1;67,6697798143614;0,983039509142431;0,938353958689904;0,92243901495238;8817,43611818252;0,459186;1,80329753501377e-12;0,0809126093966809;2,627434;0;1;4;2;"SMJYB01_20220408_125202.wav";2022-04-08 13:12:02
1;67,6054992282045;0,983044856859645;0,938163352006475;0,92225665808417;8816,55967106742;0,470734;1,802269073245e-12;0,0836843052243478;2,60617;0;1;4;3;"SMJYB01_20220408_125202.wav";2022-04-08 13:07:02
1;67,4325591844628;0,983050082436894;0,937930273319703;0,922032432506992;8818,86876204849;0,457753;1,80229455236563e-12;0,0806406592660645;2,630238;0;1;4;4;"SMJYB01_20220408_125202.wav";2022-04-08 13:02:02
1;67,4058732777556;0,98306631912148;0,937924326385325;0,922041815154115;8819,71060446988;0,461582;1,80335796318439e-12;0,0752391648475927;2,622952;0;1;4;5;"SMJYB01_20220408_125202.wav";2022-04-08 12:57:02
1;67,66623528037;0,983002414492086;0,938195728169272;0,922248666056555;8817,95806267585;0,510886;1,80134340720445e-12;0,0896531705204734;2,531602;0;1;5;1;"SMJYB01_20220408_132202.wav";2022-04-08 13:47:02
1;67,5234654467981;0,983045600181171;0,93823990370257;0,922332609249217;8822,72228822934;0,465145;1,80360852779707e-12;0,0818147298877576;2,616542;0;1;5;2;"SMJYB01_20220408_132202.wav";2022-04-08 13:42:02
1;67,5785858386316;0,983031912684211;0,938193837643635;0,922274482687362;8813,14614847404;0,463712;1,80155303064328e-12;0,0849741364929772;2,619049;0;1;5;3;"SMJYB01_20220408_132202.wav";2022-04-08 13:37:02
1;67,4358658291727;0,983059405963902;0,93791833029088;0,922029436618407;8814,62025834751;0,470477;1,80396766446395e-12;0,0758728291480974;2,606429;0;1;5;4;"SMJYB01_20220408_132202.wav";2022-04-08 13:32:02
1;67,2749977827312;0,983026639720943;0,937433055696359;0,921521666704527;8816,54414394792;0,462649;1,80157410237579e-12;0,0752254021319047;2,621045;0;1;5;5;"SMJYB01_20220408_132202.wav";2022-04-08 13:27:02
1;67,4552905468203;0,983011311241888;0,937923536210876;0,921989445175281;8810,05110705853;0,487567;1,80118365986167e-12;0,0844280599960845;2,57495;0;1;6;1;"SMJYB01_20220408_135202.wav";2022-04-08 14:17:02
1;67,5084405166547;0,983052189539996;0,938359744403025;0,922456601311585;8818,54140816996;0,459281;1,80280792603575e-12;0,0821594497802801;2,627198;0;1;6;2;"SMJYB01_20220408_135202.wav";2022-04-08 14:12:02
1;67,5372105408148;0,983046534255459;0,938401152437999;0,922492000645503;8813,61191849114;0,457168;1,80206941844373e-12;0,0779280366648201;2,63141;0;1;6;3;"SMJYB01_20220408_135202.wav";2022-04-08 14:07:02
1;67,4677376334087;0,983040835244193;0,938346811644537;0,922433233467772;8815,12094613069;0,477864;1,80214283528924e-12;0,0771676517436409;2,593097;0;1;6;4;"SMJYB01_20220408_135202.wav";2022-04-08 14:02:02
1;67,261687464765;0,983035300328888;0,937546896716123;0,921641695185751;8818,58555379389;0,471738;1,80321471055917e-12;0,0729900731298963;2,604343;0;1;6;5;"SMJYB01_20220408_135202.wav";2022-04-08 13:57:02
1;66,8834822446217;0,983041441243059;0,936576134217326;0,920693152814854;8827,38351617725;0,457176;1,80306483895275e-12;0,0649884255446843;2,631041;0;1;7;1;"SMJYB01_20220408_142202.wav";2022-04-08 14:47:02
1;67,4020853827548;0,983028549982667;0,937932010915646;0,922013944672734;8812,9772019013;0,46235;1,80056905643573e-12;0,0768934757193133;2,621314;0;1;7;2;"SMJYB01_20220408_142202.wav";2022-04-08 14:42:02
1;67,4993542628712;0,983055435034486;0,938175445059956;0,922278470282087;8825,37206175546;0,462287;1,8023058160343e-12;0,0770803795325172;2,621676;0;1;7;3;"SMJYB01_20220408_142202.wav";2022-04-08 14:37:02
1;67,5863692707862;0,983055618588958;0,938280371208307;0,922381790728059;8815,859906953;0,454311;1,80311790914773e-12;0,0825880775556303;2,636405;0;1;7;4;"SMJYB01_20220408_142202.wav";2022-04-08 14:32:02
1;67,546082177358;0,983033280431141;0,938068590143928;0,922152643438601;8816,31297150877;0,457881;1,80317989598276e-12;0,0770166387317421;2,630047;0;1;7;5;"SMJYB01_20220408_142202.wav";2022-04-08 14:27:02
1;67,6415789840453;0,983028958463163;0,938331193853752;0,92240673618755;8820,371137235;0,458447;1,80154584081278e-12;0,0802474311034122;2,628696;0;1;8;1;"SMJYB01_20220408_145202.wav";2022-04-08 15:17:02
1;67,5256116701029;0,983044222953581;0,938209657914713;0,922301584132314;8815,46237533387;0,451528;1,80149222291015e-12;0,0755424071655879;2,641981;0;1;8;2;"SMJYB01_20220408_145202.wav";2022-04-08 15:12:02
1;67,6042104839653;0,983069695526751;0,938369561995375;0,922482679602365;8818,39077699312;0,456054;1,80400058827474e-12;0,0754510467905723;2,633417;0;1;8;3;"SMJYB01_20220408_145202.wav";2022-04-08 15:07:02
1;67,3044776301958;0,983044589297337;0,937735844352313;0,921836147980711;8818,19751804674;0,462269;1,80434454848635e-12;0,0725939667380961;2,621635;0;1;8;4;"SMJYB01_20220408_145202.wav";2022-04-08 15:02:02
1;67,6270969563541;0,983036040930276;0,938507086099801;0,922586290304558;8822,97045103765;0,475932;1,80223539740221e-12;0,0836077462769646;2,597099;0;1;8;5;"SMJYB01_20220408_145202.wav";2022-04-08 14:57:02
1;67,6639085527611;0,98304334018561;0,938394896675089;0,922482853640609;8817,74125126042;0,462437;1,80230125733099e-12;0,0801302297217246;2,621433;0;1;9;1;"SMJYB01_20220408_152202.wav";2022-04-08 15:47:02
1;67,5583840335926;0,98304161611632;0,938374602013981;0,922461285286333;8815,81820750094;0,470218;1,80228284234906e-12;0,0803966358133608;2,607131;0;1;9;2;"SMJYB01_20220408_152202.wav";2022-04-08 15:42:02
