"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,999537777777778;13,1365306959213;0,955755132367888;0,926722557937882;0,885719841030228;11230,3869973269;0,677684;1,22944430869293e-12;2,292129;27;1;1;1;"SMJYB01_20220408_112259.wav";2022-04-08 11:47:59
1;52,5796928956222;0,982916670174232;0,934938101525412;0,918966245570376;7892,40713385654;0,538245;1,79906218122183e-12;2,484497;0;1;1;2;"SMJYB01_20220408_112259.wav";2022-04-08 11:42:59
1;51,9420142988492;0,982951551279978;0,93092553637724;0,915054700108154;7872,59455687884;0,547247;1,80128925024438e-12;2,462258;0;1;1;3;"SMJYB01_20220408_112259.wav";2022-04-08 11:37:59
1;52,1403157927513;0,983063525848548;0,931573981339178;0,915796402684061;7877,88853051059;0,455358;1,80466218335751e-12;2,634382;0;1;1;4;"SMJYB01_20220408_112259.wav";2022-04-08 11:32:59
1;52,1075613843577;0,98304066488562;0,931492733807039;0,915695236377796;7874,86684874751;0,486871;1,80170155972613e-12;2,576198;0;1;1;5;"SMJYB01_20220408_112259.wav";2022-04-08 11:27:59
1;51,8990473323592;0,983030901642477;0,930533735577898;0,914743417093883;7874,34081365849;0,468269;1,80136514551854e-12;2,610359;0;1;2;1;"SMJYB01_20220408_115202.wav";2022-04-08 12:17:02
1;52,154669330707;0,983043521819194;0,931544561697121;0,915748846662255;7871,23399167476;0,456885;1,8034277722722e-12;2,631543;0;1;2;2;"SMJYB01_20220408_115202.wav";2022-04-08 12:12:02
1;51,9543924257657;0,983035240278866;0,93067211438973;0,914883485589948;7873,9895109133;0,458067;1,80295170610669e-12;2,629403;0;1;2;3;"SMJYB01_20220408_115202.wav";2022-04-08 12:07:02
1;50,1791723221254;0,983027572325723;0,925784283703358;0,910071476906221;7876,6019683023;0,472369;1,80182401223514e-12;2,60288;0;1;2;4;"SMJYB01_20220408_115202.wav";2022-04-08 12:02:02
1;52,0927620416668;0,983033350939002;0,9312197978375;0,915420118328938;7864,64692029463;0,464832;1,80259279115116e-12;2,616743;0;1;2;5;"SMJYB01_20220408_115202.wav";2022-04-08 11:57:02
1;52,3457422480273;0,983014644015394;0,932229349246991;0,916395101890733;7874,87683359556;0,474309;1,80089187832168e-12;2,600454;0;1;3;1;"SMJYB01_20220408_122202.wav";2022-04-08 12:47:02
1;52,1804360695421;0,983045736870244;0,93167872040904;0,91588279423083;7873,97674666214;0,49489;1,80313653362652e-12;2,561489;0;1;3;2;"SMJYB01_20220408_122202.wav";2022-04-08 12:42:02
1;52,2716300576587;0,983041093614126;0,931989414901744;0,9161838936618;7871,56541900472;0,462124;1,8034419466822e-12;2,621889;0;1;3;3;"SMJYB01_20220408_122202.wav";2022-04-08 12:37:02
1;52,5110934689789;0,982984483077075;0,932509370923441;0,916642241941707;7870,44841118818;0,537666;1,79914385375212e-12;2,480575;0;1;3;4;"SMJYB01_20220408_122202.wav";2022-04-08 12:32:02
