"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,340764444444444;18,8035017272056;0,915242400724328;0,932866387654587;0,853798872192016;12133,1490922144;0,576678;6,29322585740738e-13;-0,0855449956748764;2,548703;30;5;1;1;"SMJYB05_20220410_100340.wav";2022-04-10 10:28:40
1;66,3308373855701;0,968803789644501;0,943884973487968;0,914439339303642;9068,33525853708;0,474312;1,21735301818807e-12;0,280537771632859;2,666593;0;5;1;2;"SMJYB05_20220410_100340.wav";2022-04-10 10:23:40
1;67,6476914046561;0,980359502169672;0,955448300685;0,936682820408406;9316,62291916664;0,452491;1,69862133711492e-12;0,292899898104127;2,655374;0;5;1;3;"SMJYB05_20220410_100340.wav";2022-04-10 10:18:40
1;70,6733790972789;0,979165484843778;0,962937754619089;0,94287541337598;9485,04180043659;0,46039;1,65590633173788e-12;0,293303835768406;2,643349;3;5;1;4;"SMJYB05_20220410_100340.wav";2022-04-10 10:13:40
1;48,9419138677018;0,978997536170739;0,922825868710381;0,903444251782085;9632,96234859318;0,528606;1,66592602550531e-12;0,309385927126975;2,521014;2;5;1;5;"SMJYB05_20220410_100340.wav";2022-04-10 10:08:40
1;59,8183560550683;0,977889707345017;0,957912631075957;0,936732902464962;9577,65186662372;0,522021;1,64803722098646e-12;0,216992285458651;2,541151;3;5;2;1;"SMJYB05_20220410_103302.wav";2022-04-10 10:58:02
1;52,219477720361;0,977651759362087;0,931847453988294;0,911022302848737;9410,90473088825;0,542733;1,619598083044e-12;0,0124473441156442;2,50521;2;5;2;2;"SMJYB05_20220410_103302.wav";2022-04-10 10:53:02
1;46,1778634127527;0,977891683833527;0,928449285694948;0,907922835342268;9382,72833146929;0,641311;1,64187814498333e-12;-0,144576949210621;2,324071;5;5;2;3;"SMJYB05_20220410_103302.wav";2022-04-10 10:48:02
1;45,1791632044624;0,976151073907021;0,923797634259391;0,90176605275507;9256,56050998194;0,758484;1,62966324324584e-12;0,470705631751912;2,012083;6;5;2;4;"SMJYB05_20220410_103302.wav";2022-04-10 10:43:02
1;43,8352919038743;0,979358356403889;0,925624277016856;0,906517870586766;9276,26786327069;0,594413;1,69382457545487e-12;0,367260364413649;2,417143;6;5;2;5;"SMJYB05_20220410_103302.wav";2022-04-10 10:38:02
1;41,0214043935491;0,980228748588242;0,92413313369235;0,905861865168183;9184,2209487383;0,602878;1,72663958568389e-12;0,441185570731112;2,407878;2;5;3;1;"SMJYB05_20220410_110302.wav";2022-04-10 11:28:02
1;42,102668604114;0,979977599809462;0,925809415262322;0,907272488649772;9300,25919434939;0,700539;1,72404584011991e-12;0,131244785236703;2,209357;2;5;3;2;"SMJYB05_20220410_110302.wav";2022-04-10 11:23:02
1;40,1025320919968;0,979506302090061;0,921797681337079;0,902906638121674;9108,99419423698;0,705014;1,69661205656551e-12;0,362633326597085;2,181601;10;5;3;3;"SMJYB05_20220410_110302.wav";2022-04-10 11:18:02
0,637155555555556;35,0966422785219;0,975578078795969;0,932623117702368;0,909846669408783;9184,12562502863;0,86576;1,60212260419788e-12;0,477089367268634;1,394563;20;5;3;4;"SMJYB05_20220410_110302.wav";2022-04-10 11:13:02
1;17,5993046797674;0,981357135408962;0,874307550878736;0,858007953596782;9193,05560515046;0,652714;1,75409150838574e-12;-0,246512976911417;2,319398;15;5;3;5;"SMJYB05_20220410_110302.wav";2022-04-10 11:08:02
1;40,0790066745938;0,979716063231516;0,921646275279552;0,902951660508872;8957,62270242135;0,715796;1,69769978922649e-12;-0,0612873476749779;2,175216;4;5;4;1;"SMJYB05_20220410_113303.wav";2022-04-10 11:58:03
1;67,5649641708126;0,979146524158939;0,942205105324429;0,922556853923221;9075,6000764531;0,517054;1,65130362248474e-12;0,2738094699493;2,539807;1;5;4;2;"SMJYB05_20220410_113303.wav";2022-04-10 11:53:03
1;68,135898692387;0,978322040317687;0,945866813985538;0,925362351327121;9314,70471074906;0,45267;1,60918932933512e-12;0,266884196955608;2,660443;0;5;4;3;"SMJYB05_20220410_113303.wav";2022-04-10 11:48:03
1;63,7871620004616;0,980457618720451;0,959475171700768;0,940724742067132;9534,35903410768;0,474829;1,71171474591195e-12;0,258973726431085;2,616498;1;5;4;4;"SMJYB05_20220410_113303.wav";2022-04-10 11:43:03
1;61,4742092928843;0,980757670557442;0,938461658017305;0,920403469624527;9396,94530549611;0,517222;1,72028474116121e-12;0,241191153581299;2,535407;0;5;4;5;"SMJYB05_20220410_113303.wav";2022-04-10 11:38:03
1;51,807231212365;0,980295943205837;0,931629472673732;0,913272592633053;9411,17980840855;0,495595;1,71978370172188e-12;0,204063869933022;2,591288;2;5;5;1;"SMJYB05_20220410_120302.wav";2022-04-10 12:28:02
1;48,028553704248;0,979974065585769;0,928861759295202;0,91026043462367;9385,34385650102;0,584343;1,71512369258584e-12;0,197896457091426;2,430337;0;5;5;2;"SMJYB05_20220410_120302.wav";2022-04-10 12:23:02
1;42,6177446909178;0,981064317692498;0,927091924639388;0,909536806484566;9249,9329635133;0,592377;1,73504435508717e-12;-0,0486528255875657;2,419416;2;5;5;3;"SMJYB05_20220410_120302.wav";2022-04-10 12:18:02
1;46,4420850501491;0,97918681763943;0,925045073587015;0,905791941778702;9276,29200356793;0,622209;1,68701503076245e-12;0,326524939194114;2,371216;2;5;5;4;"SMJYB05_20220410_120302.wav";2022-04-10 12:13:02
1;38,2835544053622;0,981601610264127;0,924690561155805;0,907677743826577;9113,16698105187;0,650742;1,76127997728032e-12;-0,246570573945378;2,314383;4;5;5;5;"SMJYB05_20220410_120302.wav";2022-04-10 12:08:02
1;41,6231886483847;0,977128269712409;0,924334625234003;0,90319349299017;9199,06492542116;0,815952;1,62727196779664e-12;-0,124007508407735;1,77236;5;5;6;1;"SMJYB05_20220410_123303.wav";2022-04-10 12:58:03
1;37,7563359925548;0,980289022378457;0,924362855656888;0,90614276009485;9036,68348237982;0,801895;1,71864065116448e-12;0,0372847404364041;1,848142;17;5;6;2;"SMJYB05_20220410_123303.wav";2022-04-10 12:53:03
1;33,7933538567951;0,981628082626073;0,925451442386884;0,90844912495377;8949,26751062124;0,718559;1,76506046340479e-12;-0,498826538122966;2,142032;6;5;6;3;"SMJYB05_20220410_123303.wav";2022-04-10 12:48:03
1;32,4559123147856;0,981358199153234;0,9261872670732;0,908921468493611;8983,74503126775;0,702582;1,76178605572297e-12;-0,37489054892257;2,193975;3;5;6;4;"SMJYB05_20220410_123303.wav";2022-04-10 12:43:03
1;33,8183036157128;0,981287351318409;0,922985163877722;0,905713666767758;8996,26459460521;0,662889;1,75200722662842e-12;-0,227735620769818;2,291124;7;5;6;5;"SMJYB05_20220410_123303.wav";2022-04-10 12:38:03
