"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,219093333333333;12,0260097429344;0,916086211070731;0,934508813054452;0,856090637763259;11352,7119812914;0,570301;6,02891759056237e-13;2,558205;43;3;1;1;"SMJYB03_20220410_095127.wav";2022-04-10 10:16:27
0,999964444444444;44,7548298122991;0,976826791871916;0,961067923070222;0,938796896063691;8281,57953109361;0,780926;1,62265578457726e-12;1,922576;37;3;1;2;"SMJYB03_20220410_095127.wav";2022-04-10 10:11:27
1;36,7737952867751;0,980203802212404;0,912875442399447;0,894803979586268;8152,98861722065;0,607534;1,67378347021733e-12;2,369777;2;3;1;3;"SMJYB03_20220410_095127.wav";2022-04-10 10:06:27
1;47,972120323244;0,958335437379938;0,921264912854209;0,882880813202929;8162,99359397646;0,564577;1,0381123546428e-12;2,50651;1;3;1;4;"SMJYB03_20220410_095127.wav";2022-04-10 10:01:27
1;29,8493954929251;0,979432222728519;0,907604582312898;0,888937173413311;8845,59947571837;0,472329;1,6556241479585e-12;2,633468;0;3;1;5;"SMJYB03_20220410_095127.wav";2022-04-10 09:56:27
1;41,3449034991571;0,979897301730459;0,958402204815263;0,939135734470998;9058,87836223385;0,495997;1,69482754151937e-12;2,589202;1;3;2;1;"SMJYB03_20220410_102102.wav";2022-04-10 10:46:02
1;30,9908950529399;0,979884607615388;0,913038361791036;0,894672236881406;8753,90731476193;0,490035;1,69682906942159e-12;2,594538;2;3;2;2;"SMJYB03_20220410_102102.wav";2022-04-10 10:41:02
1;47,0097306328697;0,979008750384981;0,976154547493366;0,955663843724097;8760,52714479412;0,515889;1,67921065597193e-12;2,542048;6;3;2;3;"SMJYB03_20220410_102102.wav";2022-04-10 10:36:02
1;37,7816015600762;0,978088418627259;0,935127597829126;0,914637473375397;8654,74394610649;0,508527;1,6458920878046e-12;2,564355;1;3;2;4;"SMJYB03_20220410_102102.wav";2022-04-10 10:31:02
1;31,7428316886317;0,977710330036867;0,89988312712267;0,879825029213714;8593,10348405107;0,515325;1,62431646301456e-12;2,5531;5;3;2;5;"SMJYB03_20220410_102102.wav";2022-04-10 10:26:02
1;16,8270643713012;0,978667678101405;0,866802228184399;0,84831132403035;8540,99607262353;0,539537;1,64643785806263e-12;2,507047;4;3;3;1;"SMJYB03_20220410_105102.wav";2022-04-10 11:16:02
1;36,5333441919926;0,978951378502969;0,91633832930899;0,897050670652144;8349,13113271366;0,600281;1,66477226731549e-12;2,385142;2;3;3;2;"SMJYB03_20220410_105102.wav";2022-04-10 11:11:02
1;36,429975489956;0,977432491704393;0,915294952627973;0,894639026191615;8306,01957040295;0,624128;1,63536823545006e-12;2,342014;2;3;3;3;"SMJYB03_20220410_105102.wav";2022-04-10 11:06:02
1;32,9248165154225;0,980745621327878;0,915141325409697;0,897520847791751;8157,42716088128;0,597891;1,72545010012183e-12;2,39621;2;3;3;4;"SMJYB03_20220410_105102.wav";2022-04-10 11:01:02
1;32,3876086743618;0,980389432388106;0,915193495237172;0,897246031320858;8110,2125065301;0,649232;1,7108022582226e-12;2,292822;3;3;3;5;"SMJYB03_20220410_105102.wav";2022-04-10 10:56:02
1;33,1206258097822;0,98011763728646;0,915544834808561;0,897341640322389;8097,89069750531;0,592395;1,70273450560085e-12;2,422251;4;3;4;1;"SMJYB03_20220410_112102.wav";2022-04-10 11:46:02
1;30,7269029538284;0,981479138288184;0,912051991266323;0,895160002462093;8012,98743689706;0,602502;1,74158674959267e-12;2,38703;2;3;4;2;"SMJYB03_20220410_112102.wav";2022-04-10 11:41:02
1;33,024171911474;0,980906734516752;0,911719205634242;0,894311508794892;8080,48359771778;0,689498;1,71552367053735e-12;2,202914;16;3;4;3;"SMJYB03_20220410_112102.wav";2022-04-10 11:36:02
1;43,9635426684865;0,976759074461236;0,916926053523751;0,895615843389253;8005,93197424218;0,55699;1,53619364480423e-12;2,501278;1;3;4;4;"SMJYB03_20220410_112102.wav";2022-04-10 11:31:02
1;45,774237093185;0,980278484105184;0,91784672516589;0,899745396386526;8256,58014949894;0,548479;1,69152948990323e-12;2,475479;0;3;4;5;"SMJYB03_20220410_112102.wav";2022-04-10 11:26:02
1;53,5743367538686;0,980811345973696;0,95857591723977;0,940182135605909;8397,39827829806;0,494914;1,71839674294209e-12;2,574342;2;3;5;1;"SMJYB03_20220410_115102.wav";2022-04-10 12:16:02
1;52,464526579381;0,979650945021315;0,960280246906093;0,940739451366856;8461,62560413878;0,464686;1,68139983091658e-12;2,641245;0;3;5;2;"SMJYB03_20220410_115102.wav";2022-04-10 12:11:02
1;41,3106727164158;0,979658594778234;0,91868044981348;0,89999319851451;8431,92270716608;0,540933;1,69880471352321e-12;2,493265;1;3;5;3;"SMJYB03_20220410_115102.wav";2022-04-10 12:06:02
1;38,7290721570024;0,979535489040636;0,917782580179783;0,89900060850938;8383,39619975171;0,567833;1,67907277127508e-12;2,444694;1;3;5;4;"SMJYB03_20220410_115102.wav";2022-04-10 12:01:02
1;35,9257283623939;0,980339411057625;0,91620364303574;0,898190539822508;8264,17384683033;0,555434;1,68125148773409e-12;2,473545;1;3;5;5;"SMJYB03_20220410_115102.wav";2022-04-10 11:56:02
1;34,2982492490458;0,979822527022741;0,914271390316028;0,895823704044045;8219,44047210038;0,592135;1,67812566307736e-12;2,413875;2;3;6;1;"SMJYB03_20220410_122102.wav";2022-04-10 12:46:02
1;31,5378154123849;0,980725031555192;0,914249255695526;0,896627130141305;8136,9411835038;0,661242;1,73300642477538e-12;2,275839;4;3;6;2;"SMJYB03_20220410_122102.wav";2022-04-10 12:41:02
1;31,1515059098187;0,979979486529637;0,918752536376439;0,900358638845984;8137,94433646784;0,731013;1,71218804084021e-12;2,098468;8;3;6;3;"SMJYB03_20220410_122102.wav";2022-04-10 12:36:02
1;33,1616929452519;0,979763242045768;0,916162006985626;0,897621858203394;8147,29070324715;0,615915;1,69031118261941e-12;2,38036;2;3;6;4;"SMJYB03_20220410_122102.wav";2022-04-10 12:31:02
1;27,6271768165607;0,982464895846682;0,914962285253263;0,89891832628499;8029,34323846556;0,556826;1,77552743587803e-12;2,522167;4;3;6;5;"SMJYB03_20220410_122102.wav";2022-04-10 12:26:02
1;26,821779345575;0,982138825406752;0,9130888816691;0,896780041734455;7966,67060757474;0,664295;1,77897771691004e-12;2,261016;3;3;7;1;"SMJYB03_20220410_125102.wav";2022-04-10 13:16:02
0,990613333333333;31,9966687471601;0,979245993298163;0,907417681658072;0,888585129011575;7952,65795436778;0,692375;1,65389380815363e-12;2,204123;3;3;7;2;"SMJYB03_20220410_125102.wav";2022-04-10 13:11:02
0,999822222222222;27,5900427517192;0,98133361492417;0,912077089194126;0,895051907028386;7947,84851761969;0,700297;1,75267723465383e-12;2,170684;3;3;7;3;"SMJYB03_20220410_125102.wav";2022-04-10 13:06:02
1;31,645750901353;0,981392060918513;0,91049324616133;0,893550843302655;7919,13279155497;0,740449;1,72629296098774e-12;2,031532;4;3;7;4;"SMJYB03_20220410_125102.wav";2022-04-10 13:01:02
1;29,9163183706437;0,981475590943887;0,90961476012428;0,89276468422426;7999,50057039364;0,657226;1,75062462770729e-12;2,272766;4;3;7;5;"SMJYB03_20220410_125102.wav";2022-04-10 12:56:02
1;27,4679380498734;0,982006357496923;0,912379167697493;0,895962143126689;7955,74543455187;0,712113;1,77690435905798e-12;2,13918;4;3;8;1;"SMJYB03_20220410_132102.wav";2022-04-10 13:46:02
1;25,4968818425623;0,982504653514672;0,916724540549116;0,900686127080607;7958,01178212767;0,603381;1,77782793318848e-12;2,421701;2;3;8;2;"SMJYB03_20220410_132102.wav";2022-04-10 13:41:02
1;27,2720327547027;0,982459665892059;0,916739984821115;0,900660059197244;7983,32354125788;0,612223;1,79563483568689e-12;2,38689;7;3;8;3;"SMJYB03_20220410_132102.wav";2022-04-10 13:36:02
1;30,0934947226936;0,981108996153809;0,916036654689809;0,898731802722812;7977,1621016365;0,58914;1,73047745537196e-12;2,427209;1;3;8;4;"SMJYB03_20220410_132102.wav";2022-04-10 13:31:02
1;28,7341323668784;0,982181601703892;0,91327370078704;0,897000626233057;7995,08711703663;0,60805;1,77275977440974e-12;2,389937;3;3;8;5;"SMJYB03_20220410_132102.wav";2022-04-10 13:26:02
1;31,9745893126966;0,979220562710371;0,913413395386318;0,894433179017381;7996,37762557007;0,57968;1,68277947110532e-12;2,459935;2;3;9;1;"SMJYB03_20220410_135102.wav";2022-04-10 14:16:02
1;35,1886488861419;0,977895854544328;0,914378591776682;0,894167034382497;8048,47434936822;0,582809;1,60847420564254e-12;2,451839;1;3;9;2;"SMJYB03_20220410_135102.wav";2022-04-10 14:11:02
1;30,6885018455745;0,981744504245931;0,913991199243081;0,897305836786042;7977,13523624897;0,604083;1,72612255442328e-12;2,387957;2;3;9;3;"SMJYB03_20220410_135102.wav";2022-04-10 14:06:02
1;36,005758483303;0,97864806989892;0,914704977450743;0,895174260709105;8006,38277286668;0,564416;1,58989076018661e-12;2,473748;2;3;9;4;"SMJYB03_20220410_135102.wav";2022-04-10 14:01:02
1;33,5019824284882;0,980276519108203;0,91562874794707;0,897569361832956;7965,91173474739;0,614086;1,65350431701721e-12;2,374176;1;3;9;5;"SMJYB03_20220410_135102.wav";2022-04-10 13:56:02
1;28,8777822524145;0,977059409988623;0,9168057780087;0,895773712535341;7912,85861504446;0,770654;1,60880769916575e-12;1,964098;2;3;10;1;"SMJYB03_20220410_142102.wav";2022-04-10 14:46:02
1;26,847958716345;0,982278177914927;0,917234010480064;0,900978952535958;7899,80675661435;0,723147;1,77710893219019e-12;2,103223;5;3;10;2;"SMJYB03_20220410_142102.wav";2022-04-10 14:41:02
0,999466666666667;26,3906639783338;0,982597722574933;0,918592344360456;0,902606745543353;7917,29271747611;0,712932;1,79699388638277e-12;2,139527;6;3;10;3;"SMJYB03_20220410_142102.wav";2022-04-10 14:36:02
1;26,3489753736055;0,98251631288679;0,91698726920562;0,900954950704032;7893,34885742249;0,679131;1,78267693562411e-12;2,223831;5;3;10;4;"SMJYB03_20220410_142102.wav";2022-04-10 14:31:02
1;31,0756566955057;0,981961272310184;0,915273253700969;0,898762888715685;7906,80728790169;0,648172;1,70918909153212e-12;2,301645;2;3;10;5;"SMJYB03_20220410_142102.wav";2022-04-10 14:26:02
1;32,2927263736933;0,981380637442977;0,913472576686648;0,896464299595422;7932,48252432831;0,638543;1,7006090670498e-12;2,315722;4;3;11;1;"SMJYB03_20220410_145102.wav";2022-04-10 15:16:02
1;31,14768790546;0,981639200176743;0,914449703959496;0,897659675996659;7923,02326798639;0,637476;1,70283774118112e-12;2,321699;4;3;11;2;"SMJYB03_20220410_145102.wav";2022-04-10 15:11:02
0,999964444444444;35,3935189996552;0,981111274158022;0,927454640168136;0,90993620373913;7937,2644435499;0,649916;1,68030686837061e-12;2,29984;10;3;11;3;"SMJYB03_20220410_145102.wav";2022-04-10 15:06:02
1;29,8527602447864;0,981850516343864;0,916460836715467;0,899827545738011;7918,30602180071;0,687134;1,70998080095511e-12;2,205942;4;3;11;4;"SMJYB03_20220410_145102.wav";2022-04-10 15:01:02
1;30,2495686646031;0,98141309780373;0,913174250615321;0,896201170130982;7891,60608287226;0,659543;1,73189978394355e-12;2,27539;4;3;11;5;"SMJYB03_20220410_145102.wav";2022-04-10 14:56:02
1;25,6111355066065;0,982928063826031;0,918639704329168;0,902956745929986;7891,81751290885;0,770812;1,79581530323889e-12;1,945013;3;3;12;1;"SMJYB03_20220410_152102.wav";2022-04-10 15:46:02
1;27,508208176077;0,982900547684675;0,915400012339497;0,899747173479049;7933,24716825452;0,641332;1,784858929266e-12;2,304743;5;3;12;2;"SMJYB03_20220410_152102.wav";2022-04-10 15:41:02
1;26,4384099994451;0,982648823244002;0,91350522240282;0,897654831821382;7899,38488182463;0,795797;1,79022810340967e-12;1,851258;5;3;12;3;"SMJYB03_20220410_152102.wav";2022-04-10 15:36:02
1;27,9551249056626;0,982386375455773;0,912290225503531;0,896221487996144;7894,53417050731;0,6331;1,76901984546175e-12;2,316363;5;3;12;4;"SMJYB03_20220410_152102.wav";2022-04-10 15:31:02
1;27,4675956266762;0,982137344941946;0,914052836261156;0,897725425742187;7908,15879498135;0,662166;1,75773225998927e-12;2,265757;3;3;12;5;"SMJYB03_20220410_152102.wav";2022-04-10 15:26:02
1;26,51290449403;0,982739214744771;0,910538150965367;0,89482154747486;7874,54827981754;0,682793;1,78372873215485e-12;2,190343;5;3;13;1;"SMJYB03_20220410_155102.wav";2022-04-10 16:16:02
1;26,7712845589565;0,982478347740884;0,913253786480275;0,897252071209247;7890,86619132383;0,678506;1,79007983612939e-12;2,20888;4;3;13;2;"SMJYB03_20220410_155102.wav";2022-04-10 16:11:02
1;27,0229192010122;0,982716088261237;0,913428843413581;0,89764121990438;7919,03341994209;0,68442;1,78657811040078e-12;2,198477;3;3;13;3;"SMJYB03_20220410_155102.wav";2022-04-10 16:06:02
1;25,5039544292548;0,98238006761114;0,917244123038461;0,901082343606445;7899,59439982575;0,639087;1,78232639827977e-12;2,309208;4;3;13;4;"SMJYB03_20220410_155102.wav";2022-04-10 16:01:02
