initial_name_mapsme;SM;site;island;X;Y
SM1_05042022_Meyer_opu1;SM1;Exploratory;Moorea;-149.82941;-17.543296
SM2_Meyer_Opu4;SM2;Exploratory;Moorea;-149.83955;-17.546722
SM3_Meyer_MOU1;SM3;Exploratory;Moorea;-149.84268;-17.547468
SM4_Meyer_MOU2;SM4;Exploratory;Moorea;-149.84569;-17.5471
SM5_Bambouseraie;SM5;Exploratory;Moorea;-149.83605;-17.54525
SM5_Papehue_08042022;SM5;Test;Tahiti;-149.56897;-17.658716
SM2_Papehue_08042022;SM2;Test;Tahiti;-149.57411;-17.659842
SM1_Papehue_08042022;SM1;Test;Tahiti;-149.5774;-17.659478
SM4 modif;SM4;Test;Tahiti;-149.57137;-17.658225
SM3 modif point approx;SM3;Test;Tahiti;-149.57245;-17.658729
SM2_vallée2_Tahiti_10042022;SM2;Control;Tahiti;-149.5716;-17.696008
SM1_vallee_2_10042022;SM1;Control;Tahiti;-149.57257;-17.695632
SM5_vallée2_10042022;SM5;Control;Tahiti;-149.57639;-17.69628
SM4_vallee2_10042022;SM4;Control;Tahiti;-149.5741;-17.696421
SM3_vallee2_10042022;SM3;Control;Tahiti;-149.57486;-17.6967
